property_id, seating_type, industry_anzsic4_code, location_zip, clue_small_area, trading_name, x_coordinate, location_address, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address, base_property_id, block_id
"561680","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cafe 555","144.9528962",null,null,null,"15",23763,"Cafes and Restaurants","-37.81327283","2010","555 La Trobe Street","105462","81"
"598609","Seats - Outdoor","4511",null,"Docklands","Harbour Cafe","144.947217",null,null,null,"12",23785,"Cafes and Restaurants","-37.81817241","2010","106-120 Harbour Esplanade","573403","1103"
"105942","Seats - Outdoor","4512",null,"Melbourne (CBD)","Elevenses Espresso Bar","144.955444",null,null,null,"8",23789,"Takeaway Food Services","-37.81787118","2010","585-587 Little Collins Street","105942","31"
"614000","Seats - Indoor","4511",null,"Melbourne (Remainder)","Delaware North Companies Australia Pty Ltd","144.9803771",null,null,null,"4920",23810,"Cafes and Restaurants","-37.82181585","2010"," Batman Avenue","100847","659"
"110327","Seats - Indoor","4511",null,"Southbank","Othello Greek Restaurant","144.9638287",null,null,null,"100",23842,"Cafes and Restaurants","-37.82082512","2010","6 Riverside Quay","110327","801"
"612820","Seats - Indoor","4512",null,"Melbourne (CBD)","D'Urso Caffe Con Gusto","144.9576127",null,null,null,"10",23843,"Takeaway Food Services","-37.81525398","2010","147-185 William Street","612820","52"
"108946","Seats - Outdoor","9412",null,"West Melbourne (Residential)","Watershed Carwash Cafe @ Spencer","144.9501054",null,null,null,"18",23844,"Automotive Body, Paint and Interior Repair","-37.80973186","2010","438-452 Spencer Street","108946","440"
"111175","Seats - Indoor","4511",null,"Southbank","The Brasserie by Phillippe Mouchel","144.9586604",null,null,null,"70",23854,"Cafes and Restaurants","-37.82312164","2010","8 Whiteman Street","110477","803"
"101176","Seats - Indoor","4511",null,"Melbourne (CBD)","The Tuck Shop ","144.9587607",null,null,null,"60",23860,"Cafes and Restaurants","-37.81494883","2010","494-512 Bourke Street","101176","53"
"589841","Seats - Indoor","4512",null,"Melbourne (CBD)","KFC","144.9657034",null,null,null,"24",23870,"Takeaway Food Services","-37.810658","2010","221 Little Lonsdale Street","105749","76"
"105473","Seats - Indoor","4511",null,"Melbourne (CBD)","Cafenatics","144.957114",null,null,null,"38",23884,"Cafes and Restaurants","-37.81123723","2010","410-420 La Trobe Street","105473","93"
"109493","Seats - Indoor","4512",null,"Melbourne (CBD)","Fine Food Corner","144.9583711",null,null,null,"8",23894,"Takeaway Food Services","-37.80792152","2010","143-151 Therry Street","109493","114"
"109392","Seats - Indoor","4511",null,"Melbourne (CBD)","Chinatown Dumpling Restaurant","144.9652504",null,null,null,"50",23895,"Cafes and Restaurants","-37.81199559","2010","248-258 Swanston Street","109392","66"
"110106","Seats - Indoor","4520",null,"Melbourne (CBD)","Metropolitan Hotel","144.9565837",null,null,null,"240",23917,"Pubs, Taverns and Bars","-37.81292397","2010","263-267 William Street","110106","72"
"106117","Seats - Indoor","4511",null,"Carlton","Il Gambero Restaurant","144.9667017",null,null,null,"100",23947,"Cafes and Restaurants","-37.80027987","2010","215-217 Lygon Street","106117","206"
"603923","Seats - Indoor","4511",null,"Melbourne (CBD)","Mum Mums Bistro","144.9707325",null,null,null,"54",23987,"Cafes and Restaurants","-37.8091842","2010","32-54 Lonsdale Street","580091","78"
"104665","Seats - Outdoor","4511",null,"Melbourne (CBD)","Pop","144.9611061",null,null,null,"32",24006,"Cafes and Restaurants","-37.8130703","2010","68-78 Hardware Lane","104665","64"
"103395","Seats - Indoor","4512",null,"North Melbourne","Topcatch Fish & Chippery","144.9490316",null,null,null,"16",24064,"Takeaway Food Services","-37.80470159","2010","11 Errol Street","103395","345"
"531599","Seats - Indoor","9112",null,"Melbourne (Remainder)","Collingwood Football Club Limited","144.9823854",null,null,null,"74",24083,"Sports and Physical Recreation Clubs and Sports Professionals","-37.82487806","2010","10-20 Olympic Boulevard","109256","660"
"106372","Seats - Indoor","4511",null,"Melbourne (CBD)","Guhang Korean Charcoal BBQ Restaurant","144.961621",null,null,null,"106",24138,"Cafes and Restaurants","-37.81534187","2010","19 McKillop Street","106372","44"
"102070","Seats - Indoor","4511",null,"Melbourne (CBD)","Fifteen Melbourne Pty Ltd","144.9700073",null,null,null,"80",24163,"Cafes and Restaurants","-37.81473508","2010","115-119 Collins Street","102070","27"
"103608","Seats - Outdoor","4511",null,"Melbourne (CBD)","Trunk","144.9689066",null,null,null,"200",24164,"Cafes and Restaurants","-37.80938323","2010","275-285 Exhibition Street","103608","77"
